Location_Code,Location,Date,new_case,,new_deaths,total_deaths,total_cases
MYS,Malaysia,2019-12-31,0,,0,0,0
MYS,Malaysia,2020-01-01,0,,0,0,0
MYS,Malaysia,2020-01-02,0,,0,0,0
MYS,Malaysia,2020-01-03,0,,0,0,0
MYS,Malaysia,2020-01-04,0,,0,0,0
MYS,Malaysia,2020-01-05,0,,0,0,0
MYS,Malaysia,2020-01-06,0,,0,0,0
MYS,Malaysia,2020-01-07,0,,0,0,0
MYS,Malaysia,2020-01-08,0,,0,0,0
MYS,Malaysia,2020-01-09,0,,0,0,0
MYS,Malaysia,2020-01-10,0,,0,0,0
MYS,Malaysia,2020-01-11,0,,0,0,0
MYS,Malaysia,2020-01-12,0,,0,0,0
MYS,Malaysia,2020-01-13,0,,0,0,0
MYS,Malaysia,2020-01-14,0,,0,0,0
MYS,Malaysia,2020-01-15,0,,0,0,0
MYS,Malaysia,2020-01-16,0,,0,0,0
MYS,Malaysia,2020-01-17,0,,0,0,0
MYS,Malaysia,2020-01-18,0,,0,0,0
MYS,Malaysia,2020-01-19,0,,0,0,0
MYS,Malaysia,2020-01-20,0,,0,0,0
MYS,Malaysia,2020-01-21,0,,0,0,0
MYS,Malaysia,2020-01-22,0,,0,0,0
MYS,Malaysia,2020-01-23,0,,0,0,0
MYS,Malaysia,2020-01-24,0,,0,0,0
MYS,Malaysia,2020-01-25,3,,0,0,3
MYS,Malaysia,2020-01-26,1,,0,0,4
MYS,Malaysia,2020-01-27,0,,0,0,4
MYS,Malaysia,2020-01-28,0,,0,0,4
MYS,Malaysia,2020-01-29,3,,0,0,7
MYS,Malaysia,2020-01-30,1,,0,0,8
MYS,Malaysia,2020-01-31,0,,0,0,8
MYS,Malaysia,2020-02-01,0,,0,0,8
MYS,Malaysia,2020-02-02,0,,0,0,8
MYS,Malaysia,2020-02-03,0,,0,0,8
MYS,Malaysia,2020-02-04,2,,0,0,10
MYS,Malaysia,2020-02-05,2,,0,0,12
MYS,Malaysia,2020-02-06,0,,0,0,12
MYS,Malaysia,2020-02-07,0,,0,0,12
MYS,Malaysia,2020-02-08,4,,0,0,16
MYS,Malaysia,2020-02-09,0,,0,0,16
MYS,Malaysia,2020-02-10,2,,0,0,18
MYS,Malaysia,2020-02-11,0,,0,0,18
MYS,Malaysia,2020-02-12,0,,0,0,18
MYS,Malaysia,2020-02-13,1,,0,0,19
MYS,Malaysia,2020-02-14,0,,0,0,19
MYS,Malaysia,2020-02-15,3,,0,0,22
MYS,Malaysia,2020-02-16,0,,0,0,22
MYS,Malaysia,2020-02-17,0,,0,0,22
MYS,Malaysia,2020-02-18,0,,0,0,22
MYS,Malaysia,2020-02-19,0,,0,0,22
MYS,Malaysia,2020-02-20,0,,0,0,22
MYS,Malaysia,2020-02-21,0,,0,0,22
MYS,Malaysia,2020-02-22,0,,0,0,22
MYS,Malaysia,2020-02-23,0,,0,0,22
MYS,Malaysia,2020-02-24,0,,0,0,22
MYS,Malaysia,2020-02-25,0,,0,0,22
MYS,Malaysia,2020-02-26,0,,0,0,22
MYS,Malaysia,2020-02-27,1,,0,0,23
MYS,Malaysia,2020-02-28,0,,0,0,23
MYS,Malaysia,2020-02-29,2,,0,0,25
MYS,Malaysia,2020-03-01,4,,0,0,29
MYS,Malaysia,2020-03-02,0,,0,0,29
MYS,Malaysia,2020-03-03,7,,0,0,36
MYS,Malaysia,2020-03-04,14,,0,0,50
MYS,Malaysia,2020-03-05,0,,0,0,50
MYS,Malaysia,2020-03-06,33,,0,0,83
MYS,Malaysia,2020-03-07,10,,0,0,93
MYS,Malaysia,2020-03-08,6,,0,0,99
MYS,Malaysia,2020-03-09,18,,0,0,117
MYS,Malaysia,2020-03-10,12,,0,0,129
MYS,Malaysia,2020-03-11,20,,0,0,149
MYS,Malaysia,2020-03-12,0,,0,0,149
MYS,Malaysia,2020-03-13,48,,0,0,197
MYS,Malaysia,2020-03-14,41,,0,0,238
MYS,Malaysia,2020-03-15,190,,0,0,428
MYS,Malaysia,2020-03-16,138,,0,0,566
MYS,Malaysia,2020-03-17,107,,2,2,673
MYS,Malaysia,2020-03-18,117,,0,2,790
MYS,Malaysia,2020-03-19,110,,0,2,900
MYS,Malaysia,2020-03-20,130,,1,3,1030
MYS,Malaysia,2020-03-21,153,,1,4,1183
MYS,Malaysia,2020-03-22,123,,6,10,1306
MYS,Malaysia,2020-03-23,212,,4,14,1518
MYS,Malaysia,2020-03-24,106,,2,16,1624
MYS,Malaysia,2020-03-25,172,,4,20,1796
MYS,Malaysia,2020-03-26,235,,3,23,2031
MYS,Malaysia,2020-03-27,130,,3,26,2161
MYS,Malaysia,2020-03-28,159,,1,27,2320
MYS,Malaysia,2020-03-29,150,,8,35,2470
MYS,Malaysia,2020-03-30,156,,2,37,2626
MYS,Malaysia,2020-03-31,140,,6,43,2766
MYS,Malaysia,2020-04-01,142,,2,45,2908
MYS,Malaysia,2020-04-02,208,,5,50,3116
MYS,Malaysia,2020-04-03,217,,3,53,3333
MYS,Malaysia,2020-04-04,150,,4,57,3483
MYS,Malaysia,2020-04-05,179,,4,61,3662
MYS,Malaysia,2020-04-06,131,,1,62,3793
MYS,Malaysia,2020-04-07,170,,1,63,3963
MYS,Malaysia,2020-04-08,156,,2,65,4119
MYS,Malaysia,2020-04-09,109,,2,67,4228
MYS,Malaysia,2020-04-10,118,,3,70,4346
MYS,Malaysia,2020-04-11,184,,3,73,4530
MYS,Malaysia,2020-04-12,153,,3,76,4683
MYS,Malaysia,2020-04-13,134,,1,77,4817
MYS,Malaysia,2020-04-14,170,,5,82,4987
MYS,Malaysia,2020-04-15,85,,1,83,5072
MYS,Malaysia,2020-04-16,110,,1,84,5182
MYS,Malaysia,2020-04-17,69,,2,86,5251
MYS,Malaysia,2020-04-18,54,,2,88,5305
MYS,Malaysia,2020-04-19,84,,1,89,5389
MYS,Malaysia,2020-04-20,36,,0,89,5425
MYS,Malaysia,2020-04-21,57,,3,92,5482
MYS,Malaysia,2020-04-22,50,,1,93,5532
MYS,Malaysia,2020-04-23,71,,2,95,5603
MYS,Malaysia,2020-04-24,88,,1,96,5691
MYS,Malaysia,2020-04-25,51,,2,98,5742
MYS,Malaysia,2020-04-26,38,,0,98,5780
MYS,Malaysia,2020-04-27,40,,1,99,5820
MYS,Malaysia,2020-04-28,31,,1,100,5851
MYS,Malaysia,2020-04-29,94,,0,100,5945
MYS,Malaysia,2020-04-30,57,,2,102,6002
MYS,Malaysia,2020-05-01,69,,1,103,6071
MYS,Malaysia,2020-05-02,105,,0,103,6176
MYS,Malaysia,2020-05-03,122,,2,105,6298
MYS,Malaysia,2020-05-04,55,,0,105,6353
MYS,Malaysia,2020-05-05,30,,1,106,6383
MYS,Malaysia,2020-05-06,45,,1,107,6428
MYS,Malaysia,2020-05-07,39,,0,107,6467
MYS,Malaysia,2020-05-08,68,,0,107,6535
MYS,Malaysia,2020-05-09,54,,1,108,6589
MYS,Malaysia,2020-05-10,67,,0,108,6656
MYS,Malaysia,2020-05-11,70,,1,109,6726
MYS,Malaysia,2020-05-12,16,,0,109,6742
MYS,Malaysia,2020-05-13,37,,2,111,6779
MYS,Malaysia,2020-05-14,40,,1,112,6819
MYS,Malaysia,2020-05-15,36,,0,112,6855
MYS,Malaysia,2020-05-16,17,,1,113,6872
MYS,Malaysia,2020-05-17,22,,0,113,6894
MYS,Malaysia,2020-05-18,47,,0,113,6941
MYS,Malaysia,2020-05-19,37,,1,114,6978
MYS,Malaysia,2020-05-20,31,,0,114,7009
MYS,Malaysia,2020-05-21,50,,0,114,7059
MYS,Malaysia,2020-05-22,78,,1,115,7137
MYS,Malaysia,2020-05-23,48,,0,115,7185
MYS,Malaysia,2020-05-24,60,,0,115,7245
MYS,Malaysia,2020-05-25,172,,0,115,7417
MYS,Malaysia,2020-05-26,187,,0,115,7604
MYS,Malaysia,2020-05-27,15,,0,115,7619
MYS,Malaysia,2020-05-28,10,,0,115,7629
MYS,Malaysia,2020-05-29,103,,0,115,7732
MYS,Malaysia,2020-05-30,30,,0,115,7762
MYS,Malaysia,2020-05-31,57,,0,115,7819
MYS,Malaysia,2020-06-01,38,,0,115,7857
MYS,Malaysia,2020-06-02,20,,0,115,7877
