Location_Code,Location,Date,new_case,,new_deaths,total_deaths,total_cases
MYS,Malaysia,31/12/2019,0,,0,0,0
MYS,Malaysia,01/01/2020,0,,0,0,0
MYS,Malaysia,02/01/2020,0,,0,0,0
MYS,Malaysia,03/01/2020,0,,0,0,0
MYS,Malaysia,04/01/2020,0,,0,0,0
MYS,Malaysia,05/01/2020,0,,0,0,0
MYS,Malaysia,06/01/2020,0,,0,0,0
MYS,Malaysia,07/01/2020,0,,0,0,0
MYS,Malaysia,08/01/2020,0,,0,0,0
MYS,Malaysia,09/01/2020,0,,0,0,0
MYS,Malaysia,10/01/2020,0,,0,0,0
MYS,Malaysia,11/01/2020,0,,0,0,0
MYS,Malaysia,12/01/2020,0,,0,0,0
MYS,Malaysia,13/01/2020,0,,0,0,0
MYS,Malaysia,14/01/2020,0,,0,0,0
MYS,Malaysia,15/01/2020,0,,0,0,0
MYS,Malaysia,16/01/2020,0,,0,0,0
MYS,Malaysia,17/01/2020,0,,0,0,0
MYS,Malaysia,18/01/2020,0,,0,0,0
MYS,Malaysia,19/01/2020,0,,0,0,0
MYS,Malaysia,20/01/2020,0,,0,0,0
MYS,Malaysia,21/01/2020,0,,0,0,0
MYS,Malaysia,22/01/2020,0,,0,0,0
MYS,Malaysia,23/01/2020,0,,0,0,0
MYS,Malaysia,24/01/2020,0,,0,0,0
MYS,Malaysia,25/01/2020,3,,0,0,3
MYS,Malaysia,26/01/2020,1,,0,0,4
MYS,Malaysia,27/01/2020,0,,0,0,4
MYS,Malaysia,28/01/2020,0,,0,0,4
MYS,Malaysia,29/01/2020,3,,0,0,7
MYS,Malaysia,30/01/2020,1,,0,0,8
MYS,Malaysia,31/01/2020,0,,0,0,8
MYS,Malaysia,01/02/2020,0,,0,0,8
MYS,Malaysia,02/02/2020,0,,0,0,8
MYS,Malaysia,03/02/2020,0,,0,0,8
MYS,Malaysia,04/02/2020,2,,0,0,10
MYS,Malaysia,05/02/2020,2,,0,0,12
MYS,Malaysia,06/02/2020,0,,0,0,12
MYS,Malaysia,07/02/2020,0,,0,0,12
MYS,Malaysia,08/02/2020,4,,0,0,16
MYS,Malaysia,09/02/2020,0,,0,0,16
MYS,Malaysia,10/02/2020,2,,0,0,18
MYS,Malaysia,11/02/2020,0,,0,0,18
MYS,Malaysia,12/02/2020,0,,0,0,18
MYS,Malaysia,13/02/2020,1,,0,0,19
MYS,Malaysia,14/02/2020,0,,0,0,19
MYS,Malaysia,15/02/2020,3,,0,0,22
MYS,Malaysia,16/02/2020,0,,0,0,22
MYS,Malaysia,17/02/2020,0,,0,0,22
MYS,Malaysia,18/02/2020,0,,0,0,22
MYS,Malaysia,19/02/2020,0,,0,0,22
MYS,Malaysia,20/02/2020,0,,0,0,22
MYS,Malaysia,21/02/2020,0,,0,0,22
MYS,Malaysia,22/02/2020,0,,0,0,22
MYS,Malaysia,23/02/2020,0,,0,0,22
MYS,Malaysia,24/02/2020,0,,0,0,22
MYS,Malaysia,25/02/2020,0,,0,0,22
MYS,Malaysia,26/02/2020,0,,0,0,22
MYS,Malaysia,27/02/2020,1,,0,0,23
MYS,Malaysia,28/02/2020,0,,0,0,23
MYS,Malaysia,29/02/2020,2,,0,0,25
MYS,Malaysia,01/03/2020,4,,0,0,29
MYS,Malaysia,02/03/2020,0,,0,0,29
MYS,Malaysia,03/03/2020,7,,0,0,36
MYS,Malaysia,04/03/2020,14,,0,0,50
MYS,Malaysia,05/03/2020,0,,0,0,50
MYS,Malaysia,06/03/2020,33,,0,0,83
MYS,Malaysia,07/03/2020,10,,0,0,93
MYS,Malaysia,08/03/2020,6,,0,0,99
MYS,Malaysia,09/03/2020,18,,0,0,117
MYS,Malaysia,10/03/2020,12,,0,0,129
MYS,Malaysia,11/03/2020,20,,0,0,149
MYS,Malaysia,12/03/2020,0,,0,0,149
MYS,Malaysia,13/03/2020,48,,0,0,197
MYS,Malaysia,14/03/2020,41,,0,0,238
MYS,Malaysia,15/03/2020,190,,0,0,428
MYS,Malaysia,16/03/2020,138,,0,0,566
MYS,Malaysia,17/03/2020,107,,2,2,673
MYS,Malaysia,18/03/2020,117,,0,2,790
MYS,Malaysia,19/03/2020,110,,0,2,900
MYS,Malaysia,20/03/2020,130,,1,3,1030
MYS,Malaysia,21/03/2020,153,,1,4,1183
MYS,Malaysia,22/03/2020,123,,6,10,1306
MYS,Malaysia,23/03/2020,212,,4,14,1518
MYS,Malaysia,24/03/2020,106,,2,16,1624
MYS,Malaysia,25/03/2020,172,,4,20,1796
MYS,Malaysia,26/03/2020,235,,3,23,2031
MYS,Malaysia,27/03/2020,130,,3,26,2161
MYS,Malaysia,28/03/2020,159,,1,27,2320
MYS,Malaysia,29/03/2020,150,,8,35,2470
MYS,Malaysia,30/03/2020,156,,2,37,2626
MYS,Malaysia,31/03/2020,140,,6,43,2766
MYS,Malaysia,01/04/2020,142,,2,45,2908
MYS,Malaysia,02/04/2020,208,,5,50,3116
MYS,Malaysia,03/04/2020,217,,3,53,3333
MYS,Malaysia,04/04/2020,150,,4,57,3483
MYS,Malaysia,05/04/2020,179,,4,61,3662
MYS,Malaysia,06/04/2020,131,,1,62,3793
MYS,Malaysia,07/04/2020,170,,1,63,3963
MYS,Malaysia,08/04/2020,156,,2,65,4119
MYS,Malaysia,09/04/2020,109,,2,67,4228
MYS,Malaysia,10/04/2020,118,,3,70,4346
MYS,Malaysia,11/04/2020,184,,3,73,4530
MYS,Malaysia,12/04/2020,153,,3,76,4683
MYS,Malaysia,13/04/2020,134,,1,77,4817
MYS,Malaysia,14/04/2020,170,,5,82,4987
MYS,Malaysia,15/04/2020,85,,1,83,5072
MYS,Malaysia,16/04/2020,110,,1,84,5182
MYS,Malaysia,17/04/2020,69,,2,86,5251
MYS,Malaysia,18/04/2020,54,,2,88,5305
MYS,Malaysia,19/04/2020,84,,1,89,5389
MYS,Malaysia,20/04/2020,36,,0,89,5425
MYS,Malaysia,21/04/2020,57,,3,92,5482
MYS,Malaysia,22/04/2020,50,,1,93,5532
MYS,Malaysia,23/04/2020,71,,2,95,5603
MYS,Malaysia,24/04/2020,88,,1,96,5691
MYS,Malaysia,25/04/2020,51,,2,98,5742
MYS,Malaysia,26/04/2020,38,,0,98,5780
MYS,Malaysia,27/04/2020,40,,1,99,5820
MYS,Malaysia,28/04/2020,31,,1,100,5851
MYS,Malaysia,29/04/2020,94,,0,100,5945
MYS,Malaysia,30/04/2020,57,,2,102,6002
